Name	Height	Length	Weight
Acrocanthosaurus (top-spined lizard)	19 ft. 5.8 m	40 ft. 12.2 m	6,000lbs 2,722kg
Albertosaurus (Alberta lizard)	15 ft. 4.6 m	30 ft. 9.1 m	6,000lbs 2,722kg
Allosaurus (other lizard)	17 ft. 5.2 m	40 ft. 12.2 m	4,000lbs 1,814kg
Apatosaurus (deceptive lizard)	15 ft. 4.5 m	75 ft. 22.9 m	66,000lbs 29,937kg
Archaeopteryx (ancient wing)	1 ft. 0.3 m	3 ft. 0.9 m	2lbs 0.9 kg
Argentinosaurus (Argentina lizard)	70 ft. 21.4 m	120 ft. 36.6 m	220,000lbs 99,792kg
Baryonyx (heavy claws)	6 ft. 1.8 m	30 ft. 9.1 m	4,000lbs 1,814kg
Brachiosaurus (arm lizard)	50 ft. 15.2 m	100 ft. 30.5 m	100,000lbs 45,360kg
Ceratosaurus (horned lizard)	13 ft. 4.0 m	20 ft. 6.1 m	3,000lbs 1,361kg
Coelophysis (hollow form)	3 ft. 0.9 m	9 ft. 2.7 m	100lbs 45.5kg
Compsognathus (elegant jaw)	2 ft. 0.6 m	3 ft. 0.9 m	8lbs 3.6kg
Deinonychus (terrible claw)	5 ft. 1.5 m	9 ft. 2.7 m	175lbs 80kg
Diplodocus (double beam)	24 ft. 7.3 m	89 ft. 27.1 m	50,000lbs 22,680kg
Dromiceiomimus (emu mimic)	5 ft. 1.5 m	11 ft. 3.4 m	220lbs 100kg
Gallimimus (fowlmimic)	8 ft. 2.4 m	18 ft. 5.5 m	260lbs 118kg
Mamenchisaurus (Mamenchi lizard)	35 ft. 10.7 m	69 ft. 21.0 m	60,000lbs 27,216kg
Megalosaurus (big lizard)	12 ft. 3.7 m	26 ft. 7.9 m	2,000lbs 907kg
Microvenator (small hunter)	2.5 ft0.8 m	4 ft. 1.2 m	14lbs 6.4kg
Ornithomimus (bird mimic)	8 ft. 2.4 m	15 ft. 4.6 m	300lbs 136kg
Oviraptor (egg robber)	3 ft. 0.9 m	5 ft. 1.5 m	80lbs 36kg
Plateosaurus (flat lizard)	7 ft. 2.1 m	26 ft. 7.9 m	4,000lbs 1,814kg
Saurornithoides (narrow-clawed lizard)	3 ft. 0.9 m	6.5 ft. 2.0 m	60lbs 27kg
Seismosaurus (tremor lizard)	84 ft. 25.6 m	150 ft. 45.7 m	200,000lbs 90,720kg
Spinosaurus (spiny lizard)	8 ft. 2.4 m	40 ft. 12.2 m	14,000lbs 6,350kg
Supersaurus (super lizard)	66 ft. 20.1 m	100 ft. 30.5 m	120,000lbs 54,432kg
Tyrannosaurus (tyrant lizard)	23 ft. 7.0 m	50 ft. 15.2 m	14,000lbs 6,350kg
Ultrasauros (ultra lizard)	53 ft. 16.2 m	100 ft. 30.5 m	140,000lbs 63,504kg
Velociraptor (swift robber)	3 ft. 0.6 m	6 ft. 1.8 m	250lbs 113kg
