route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
M8,MQ_V6-Weekday,MQ_V6-Weekday-042000_M8_1,"AVENUE ""D"" CROSSTOWN",0,M080019
M8,MQ_V6-Weekday,MQ_V6-Weekday-045000_M8_1,WEST ST CROSSTOWN,1,M080015
M8,MQ_V6-Weekday,MQ_V6-Weekday-048000_M8_1,"AVENUE ""D"" CROSSTOWN",0,M080019
M8,MQ_V6-Weekday,MQ_V6-Weekday-051000_M8_1,WEST ST CROSSTOWN,1,M080015
M8,MQ_V6-Weekday,MQ_V6-Weekday-054000_M8_1,"AVENUE ""D"" CROSSTOWN",0,M080019
M8,MQ_V6-Weekday,MQ_V6-Weekday-057000_M8_1,WEST ST CROSSTOWN,1,M080015
M8,MQ_V6-Weekday,MQ_V6-Weekday-060000_M8_1,"AVENUE ""D"" CROSSTOWN",0,M080019
M8,MQ_V6-Weekday,MQ_V6-Weekday-063000_M8_1,WEST ST CROSSTOWN,1,M080015
M8,MQ_V6-Weekday,MQ_V6-Weekday-045000_M8_2,"AVENUE ""D"" CROSSTOWN",0,M080019
M8,MQ_V6-Weekday,MQ_V6-Weekday-048000_M8_2,WEST ST CROSSTOWN,1,M080015
M8,MQ_V6-Weekday,MQ_V6-Weekday-051000_M8_2,"AVENUE ""D"" CROSSTOWN",0,M080019
M8,MQ_V6-Weekday,MQ_V6-Weekday-054000_M8_2,WEST ST CROSSTOWN,1,M080015
M8,MQ_V6-Weekday,MQ_V6-Weekday-057000_M8_3,"AVENUE ""D"" CROSSTOWN",0,M080019
M8,MQ_V6-Weekday,MQ_V6-Weekday-060000_M8_3,WEST ST CROSSTOWN,1,M080015
M8,MQ_V6-Weekday,MQ_V6-Weekday-063000_M8_3,"AVENUE ""D"" CROSSTOWN",0,M080019
M8,MQ_V6-Weekday,MQ_V6-Weekday-066000_M8_3,WEST ST CROSSTOWN,1,M080015
M8,MQ_V6-Weekday,MQ_V6-Weekday-069000_M8_3,"AVENUE ""D"" CROSSTOWN",0,M080019
M8,MQ_V6-Weekday,MQ_V6-Weekday-072000_M8_3,WEST ST CROSSTOWN,1,M080015
M8,MQ_V6-Weekday,MQ_V6-Weekday-066000_M8_2,"AVENUE ""D"" CROSSTOWN",0,M080019
M8,MQ_V6-Weekday,MQ_V6-Weekday-069000_M8_2,WEST ST CROSSTOWN,1,M080015
M8,MQ_V6-Weekday,MQ_V6-Weekday-072000_M8_2,"AVENUE ""D"" CROSSTOWN",0,M080019
